,0,1,2,3,4,5,6,7,8,9,10,11
5046,1674045000000,21229.50000000,21243.66000000,21226.11000000,21238.31000000,405.49647000,1674045299999,8610166.79869430,13462,205.69184000,4367652.42673240,0
5047,1674045300000,21239.14000000,21244.08000000,21223.14000000,21243.35000000,519.78401000,1674045599999,11037975.24174740,17273,264.46821000,5616369.98277120,0
5048,1674045600000,21244.08000000,21249.30000000,21230.74000000,21246.72000000,561.08004000,1674045899999,11917671.19362700,17366,285.97090000,6074360.57617330,0
5049,1674045900000,21246.72000000,21270.00000000,21242.65000000,21259.92000000,942.47770000,1674046199999,20035933.64418130,24279,524.10788000,11142012.00387390,0
5050,1674046200000,21258.56000000,21295.97000000,21258.56000000,21279.42000000,1061.74194000,1674046499999,22590709.39235080,25742,592.40157000,12605018.78129530,0
5051,1674046500000,21279.49000000,21282.26000000,21258.26000000,21259.18000000,747.62564000,1674046799999,15901530.82390100,18050,320.81482000,6823681.69535280,0
5052,1674046800000,21260.13000000,21290.00000000,21259.03000000,21289.34000000,702.29901000,1674047099999,14938834.54474150,20935,372.07449000,7914857.88484330,0
5053,1674047100000,21289.34000000,21299.74000000,21276.89000000,21289.12000000,768.73542000,1674047399999,16365969.07004970,21597,376.29586000,8011365.32500750,0
5054,1674047400000,21289.12000000,21298.47000000,21275.07000000,21284.33000000,588.07341000,1674047699999,12517815.68710050,16133,280.28511000,5966425.92230400,0
5055,1674047700000,21284.22000000,21300.14000000,21265.00000000,21269.77000000,858.84001000,1674047999999,18279956.32198490,20289,417.16420000,8879754.42411730,0
5056,1674048000000,21269.77000000,21279.00000000,21258.17000000,21262.27000000,436.38482000,1674048299999,9281098.17229420,15954,203.31918000,4324348.04077290,0
5057,1674048300000,21262.27000000,21274.93000000,21248.39000000,21256.96000000,706.91613000,1674048599999,15029823.45782860,21634,373.15601000,7933914.37263260,0
5058,1674048600000,21257.39000000,21408.00000000,21196.03000000,21239.54000000,7570.71889000,1674048899999,161314392.26324520,112896,3818.19029000,81362202.38636890,0
5059,1674048900000,21236.94000000,21298.00000000,21235.64000000,21288.98000000,2005.88751000,1674049199999,42673239.61835780,42373,1018.99627000,21678988.87616400,0
5060,1674049200000,21290.50000000,21328.00000000,21283.31000000,21321.02000000,1437.16225000,1674049499999,30616300.57016860,34988,776.90934000,16551502.53412330,0
5061,1674049500000,21321.02000000,21471.27000000,21314.95000000,21413.03000000,4363.85957000,1674049799999,93393517.75102950,72135,2265.22899000,48479647.40155570,0
5062,1674049800000,21413.03000000,21459.44000000,21396.70000000,21424.33000000,2139.18230000,1674050099999,45828328.50663480,41448,1083.35410000,23210156.38348730,0
5063,1674050100000,21425.93000000,21449.79000000,21402.66000000,21403.31000000,1585.56070000,1674050399999,33968878.14367160,33419,755.19703000,16180556.06321500,0
5064,1674050400000,21403.31000000,21429.12000000,21368.40000000,21414.21000000,1709.91539000,1674050699999,36593629.91216810,35201,797.20731000,17060503.30699980,0
5065,1674050700000,21413.03000000,21571.25000000,21411.80000000,21533.57000000,4373.82842000,1674050999999,93995463.71122720,69946,2389.52489000,51353442.12166100,0
5066,1674051000000,21533.57000000,21543.81000000,21487.79000000,21501.85000000,2101.51866000,1674051299999,45202853.96606770,38361,978.22443000,21042659.81714760,0
5067,1674051300000,21503.50000000,21565.37000000,21501.67000000,21563.10000000,1953.18813000,1674051599999,42066318.73920000,38849,1041.70735000,22437402.56919030,0
